model_name,cpu_cores,mem_cap_gb,gpu_mode,gpu_name,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_eff_w,peak_power_eff_w,energy_eff_j,cold_start_s,status,error
amazon/chronos-bolt-base,1,4,off,nan,1,64,64,0,0,0.110991,9.009739,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,64,64,1,0,0.193523,5.167353,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,64,64,2,0,0.195716,5.109448,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,64,64,3,0,0.191178,5.230735,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,64,64,4,0,0.132643,7.539050,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,128,64,0,1,0.191512,5.221594,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,128,64,1,1,0.198908,5.027451,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,128,64,0,0,0.195096,5.125687,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,128,64,1,0,0.194912,5.130529,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,128,64,2,0,0.194733,5.135232,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,128,64,3,0,0.293008,3.412880,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,128,64,4,0,0.172781,5.787672,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,256,64,0,1,0.208517,4.795782,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,256,64,1,1,0.284548,3.514348,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,256,64,0,0,0.199982,5.000450,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,256,64,1,0,0.198338,5.041894,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,256,64,2,0,0.202445,4.939605,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,256,64,3,0,0.195354,5.118920,nan,nan,nan,4.374,ok,
amazon/chronos-bolt-base,1,4,off,nan,1,256,64,4,0,0.202927,4.927872,nan,nan,nan,4.374,ok,
