num_nodes,num_edges,features,m_param,seed,num_relations,latency_s,status
100,475,16,5,37,4,0.011291697,200
500,2475,16,5,37,4,0.026520481,200
1000,4975,16,5,37,4,0.045221419,200
2000,9975,16,5,37,4,0.075439839,200
5000,24975,16,5,37,4,0.145359277,200
8000,39975,16,5,37,4,0.204724832,200
10000,49975,16,5,37,4,0.245117662,200
