num_nodes,num_edges,features,m_param,seed,num_relations,latency_s,status
100,475,16,5,37,4,0.011846849,200
500,2475,16,5,37,4,0.030922349,200
1000,4975,16,5,37,4,0.075731187,200
2000,9975,16,5,37,4,0.173559451,200
5000,24975,16,5,37,4,0.21415129,200
8000,39975,16,5,37,4,0.306619295,200
10000,49975,16,5,37,4,0.248064562,200
