num_nodes,num_edges,features,m_param,seed,latency_s,status
100,475,16,5,37,0.009745128,200
500,2475,16,5,37,0.02246772,200
1000,4975,16,5,37,0.038407956,200
2000,9975,16,5,37,0.065609396,200
5000,24975,16,5,37,0.135374054,200
8000,39975,16,5,37,0.193580523,200
10000,49975,16,5,37,0.227949322,200
