num_nodes,num_edges,features,m_param,seed,latency_s,status
100,475,16,5,37,0.009408278,200
500,2475,16,5,37,0.045897704,200
1000,4975,16,5,37,0.187788361,200
2000,9975,16,5,37,0.277829616,200
5000,24975,16,5,37,0.20542731,200
8000,39975,16,5,37,0.393157674,200
10000,49975,16,5,37,0.422967879,200
