num_nodes,num_edges,features,m_param,seed,latency_s,status
100,475,16,5,37,0.007729639,200
500,2475,16,5,37,0.022524181,200
1000,4975,16,5,37,0.039314104,200
2000,9975,16,5,37,0.068452862,200
5000,24975,16,5,37,0.137189641,200
8000,39975,16,5,37,0.192974115,200
10000,49975,16,5,37,0.226867221,200
