model_name,cpu_cores,mem_cap_gb,gpu_mode,gpu_name,batch_size,context_length,prediction_length,repeat_idx,warmup,latency_s,throughput_samples_per_s,avg_power_eff_w,peak_power_eff_w,energy_eff_j,cold_start_s,status,error
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,1024,64,3,0,0.038680,25.853154,0.352000,0.592000,0.073266,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,1024,64,4,0,0.039429,25.361794,0.428000,0.545000,0.093400,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,2048,64,0,1,0.044888,22.277679,0.419000,0.705000,0.087532,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,2048,64,1,1,0.043035,23.237122,0.370000,0.618000,0.077616,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,2048,64,0,0,0.040062,24.961421,0.482400,0.713000,0.103965,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,2048,64,1,0,0.043326,23.080577,0.647700,0.838500,0.142471,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,2048,64,2,0,0.044273,22.586913,0.494600,0.847000,0.102728,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,2048,64,3,0,0.042572,23.489640,0.480200,0.790000,0.100496,7.365,ok,
amazon/chronos-bolt-base,1,2,on,NVIDIA GeForce RTX 3080,1,2048,64,4,0,0.039794,25.129538,0.517200,0.714000,0.112046,7.365,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,64,64,0,1,0.667958,1.497100,6.095833,6.438000,5.219451,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,64,64,1,1,0.037021,27.011350,0.161400,0.269000,0.033894,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,64,64,0,0,0.036488,27.406407,0.194000,0.250000,0.042940,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,64,64,1,0,0.035900,27.855501,0.131200,0.234000,0.027083,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,64,64,2,0,0.036801,27.173482,0.085000,0.212500,0.016048,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,64,64,3,0,0.035670,28.034640,0.274200,0.365000,0.058944,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,64,64,4,0,0.039699,25.189428,0.166400,0.274000,0.034612,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,128,64,0,1,0.037767,26.478409,0.122600,0.213000,0.026132,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,128,64,1,1,0.036035,27.750684,0.206800,0.326000,0.043827,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,128,64,0,0,0.037015,27.016305,0.288200,0.368000,0.062606,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,128,64,1,0,0.036791,27.180837,0.171800,0.301000,0.035622,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,128,64,2,0,0.036568,27.346152,0.146200,0.298000,0.029211,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,128,64,3,0,0.036957,27.058305,0.232600,0.310000,0.050345,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,128,64,4,0,0.037559,26.624452,0.192000,0.297000,0.039906,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,256,64,0,1,0.039623,25.237847,0.137000,0.231000,0.028839,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,256,64,1,1,0.037310,26.802403,0.164400,0.244500,0.035225,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,256,64,0,0,0.037204,26.878515,0.172000,0.221000,0.038034,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,256,64,1,0,0.036881,27.114320,0.173000,0.287000,0.036163,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,256,64,2,0,0.036781,27.187953,0.108400,0.184000,0.022853,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,256,64,3,0,0.036961,27.055653,0.164400,0.259000,0.034886,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,256,64,4,0,0.037626,26.577101,0.257200,0.327000,0.056463,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,512,64,0,1,0.051906,19.265590,0.217000,0.330000,0.057141,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,512,64,1,1,0.037952,26.349031,0.230200,0.387000,0.048353,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,512,64,0,0,0.038039,26.288536,0.252000,0.410000,0.052449,7.681,ok,
amazon/chronos-bolt-base,1,4,on,NVIDIA GeForce RTX 3080,1,512,64,1,0,0.041184,24.281058,0.219000,0.432000,0.043541,7.681,ok,
